Grade Distribution By Course,,,
_,,,
_,,,
College of Agricultural Sci,,,
Agricultural Education,,,
_,,,
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 19.05
_,,,
Course: AG 455  Student Total: 29  Credit Hours: 3  Grade Pts: 282  GPA Hours: 75  GPA: 3.76,,,
Grade: A,  Credits: 3,  Student Count: 22,  Pct: 75.86
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: I/F,  Credits: 3,  Student Count: 2,  Pct: 6.9
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 3.45
_,,,
Course: LEAD 242  Student Total: 29  Credit Hours: 3  Grade Pts: 299.4  GPA Hours: 87  GPA: 3.44,,,
Grade: A,  Credits: 3,  Student Count: 19,  Pct: 65.52
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 13.79
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 10.34
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 10.34
_,,,
Course: LEAD 342  Student Total: 83  Credit Hours: 3  Grade Pts: 850.2  GPA Hours: 237  GPA: 3.59,,,
Grade: A,  Credits: 3,  Student Count: 52,  Pct: 62.65
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 13.25
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 7.23
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 2.41
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 2.41
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 2.41
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 3.61
Grade: I/C,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 3.61
_,,,
Course: LEAD 442  Student Total: 17  Credit Hours: 3  Grade Pts: 159.9  GPA Hours: 48  GPA: 3.33,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 52.94
