Grade Distribution By Course,,,
,,,
,,,
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 7.41
,,,
Course: LEAD 242  Student Total: 77  Credit Hours: 3  Grade Pts: 780.9  GPA Hours: 219  GPA: 3.57,,,
Grade: A,  Credits: 3,  Student Count: 45,  Pct: 58.44
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 12.99
Grade: B,  Credits: 3,  Student Count: 10,  Pct: 12.99
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 3.9
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.3
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.3
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 3.9
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 3.9
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1.3
,,,
Course: LEAD 252  Student Total: 40  Credit Hours: 3  Grade Pts: 348.3  GPA Hours: 117  GPA: 2.98,,,
Grade: A,  Credits: 3,  Student Count: 21,  Pct: 52.5
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: F,  Credits: 3,  Student Count: 6,  Pct: 15
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.5
,,,
Course: LEAD 430  Student Total: 24  Credit Hours: 3  Grade Pts: 249  GPA Hours: 66  GPA: 3.77,,,
Grade: A,  Credits: 3,  Student Count: 18,  Pct: 75
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 8.33
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: I/D,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 4.17
,,,
Course: LEAD 443  Student Total: 12  Credit Hours: 3  Grade Pts: 102.3  GPA Hours: 36  GPA: 2.84,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 25
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 33.33
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 16.67
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 16.67
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 289  Credit Hours: 4  Grade Pts: 3604.4  GPA Hours: 1120  GPA: 3.22,,,
Grade: A,  Credits: 4,  Student Count: 79,  Pct: 27.34
Grade: A-,  Credits: 4,  Student Count: 52,  Pct: 17.99
Grade: B,  Credits: 4,  Student Count: 43,  Pct: 14.88
Grade: B+,  Credits: 4,  Student Count: 40,  Pct: 13.84
Grade: B-,  Credits: 4,  Student Count: 19,  Pct: 6.57
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 1.38
Grade: C+,  Credits: 4,  Student Count: 24,  Pct: 8.3
Grade: C-,  Credits: 4,  Student Count: 6,  Pct: 2.08
Grade: D,  Credits: 4,  Student Count: 3,  Pct: 1.04
Grade: D+,  Credits: 4,  Student Count: 2,  Pct: .69
Grade: D-,  Credits: 4,  Student Count: 2,  Pct: .69
Grade: F,  Credits: 4,  Student Count: 6,  Pct: 2.08
Grade: S,  Credits: 4,  Student Count: 3,  Pct: 1.04
Grade: W,  Credits: 4,  Student Count: 6,  Pct: 2.08
,,,
Course: ANS 207  Student Total: 35  Credit Hours: 2  Grade Pts: 250.2  GPA Hours: 68  GPA: 3.68,,,
Grade: A,  Credits: 2,  Student Count: 24,  Pct: 68.57
Grade: A-,  Credits: 2,  Student Count: 4,  Pct: 11.43
Grade: B,  Credits: 2,  Student Count: 3,  Pct: 8.57
Grade: B+,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: C,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: F,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: I/C,  Credits: 2,  Student Count: 1,  Pct: 2.86
,,,
Course: ANS 220  Student Total: 36  Credit Hours: 3  Grade Pts: 350.7  GPA Hours: 108  GPA: 3.25,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 27.78
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 25
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 11.11
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.78
,,,
Course: ANS 251  Student Total: 106  Credit Hours: 3  Grade Pts: 1067.4  GPA Hours: 315  GPA: 3.39,,,
Grade: A,  Credits: 3,  Student Count: 58,  Pct: 54.72
Grade: B,  Credits: 3,  Student Count: 13,  Pct: 12.26
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 7.55
Grade: B-,  Credits: 3,  Student Count: 12,  Pct: 11.32
Grade: C,  Credits: 3,  Student Count: 13,  Pct: 12.26
Grade: F,  Credits: 3,  Student Count: 1,  Pct: .94
Grade: W,  Credits: 3,  Student Count: 1,  Pct: .94
,,,
Course: ANS 316  Student Total: 67  Credit Hours: 4  Grade Pts: 804.4  GPA Hours: 256  GPA: 3.14,,,
Grade: A,  Credits: 4,  Student Count: 20,  Pct: 29.85
Grade: A-,  Credits: 4,  Student Count: 13,  Pct: 19.4
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 8.96
Grade: B+,  Credits: 4,  Student Count: 8,  Pct: 11.94
Grade: B-,  Credits: 4,  Student Count: 4,  Pct: 5.97
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 2.99
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: C-,  Credits: 4,  Student Count: 6,  Pct: 8.96
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 4.48
Grade: I/F,  Credits: 4,  Student Count: 3,  Pct: 4.48
,,,
Course: ANS 317  Student Total: 66  Credit Hours: 1  Grade Pts: 224.2  GPA Hours: 65  GPA: 3.45,,,
Grade: A,  Credits: 1,  Student Count: 36,  Pct: 54.55
Grade: A-,  Credits: 1,  Student Count: 4,  Pct: 6.06
Grade: B,  Credits: 1,  Student Count: 9,  Pct: 13.64
Grade: B+,  Credits: 1,  Student Count: 7,  Pct: 10.61
Grade: B-,  Credits: 1,  Student Count: 1,  Pct: 1.52
Grade: C,  Credits: 1,  Student Count: 2,  Pct: 3.03
Grade: C+,  Credits: 1,  Student Count: 3,  Pct: 4.55
Grade: C-,  Credits: 1,  Student Count: 1,  Pct: 1.52
Grade: F,  Credits: 1,  Student Count: 2,  Pct: 3.03
Grade: W,  Credits: 1,  Student Count: 1,  Pct: 1.52
,,,
Course: ANS 378  Student Total: 46  Credit Hours: 4  Grade Pts: 523.6  GPA Hours: 180  GPA: 2.91,,,
Grade: A,  Credits: 4,  Student Count: 11,  Pct: 23.91
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 10.87
Grade: B,  Credits: 4,  Student Count: 9,  Pct: 19.57
Grade: B+,  Credits: 4,  Student Count: 7,  Pct: 15.22
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 4.35
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 4.35
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 2.17
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 2.17
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 8.7
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 2.17
,,,
Course: ANS 380  Student Total: 36  Credit Hours: 3  Grade Pts: 279.9  GPA Hours: 102  GPA: 2.74,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 5.56
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 13.89
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 19.44
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 11.11
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 5.56
Grade: C+,  Credits: 3,  Student Count: 7,  Pct: 19.44
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.78
,,,
Course: ANS 405  Student Total: 17  Credit Hours: Variable  Grade Pts: 76  GPA Hours: 19  GPA: 4,,,
Grade: A,  Credits: 1,  Student Count: 1,  Pct: 5.88
Grade: P,  Credits: 1,  Student Count: 7,  Pct: 41.18
Grade: A,  Credits: 2,  Student Count: 9,  Pct: 52.94
,,,
Course: ANS 420  Student Total: 21  Credit Hours: 3  Grade Pts: 183.9  GPA Hours: 63  GPA: 2.92,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 19.05
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 19.05
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 14.29
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 9.52
